	YW1	YW2	YW3	YW4	YW5	YW6	YW7	YW8
ENSG00000000003	2515	2662	3175	3624	2446	2896	3197	2764
ENSG00000000005	4	4	2	9	6	2	10	7
ENSG00000000419	1330	1458	1965	1928	1611	1564	1886	1506
ENSG00000000457	421	537	704	785	453	513	623	504
ENSG00000000460	1283	1472	1936	1863	1111	1485	1783	1461
ENSG00000000938	0	1	0	3	0	0	0	2
ENSG00000000971	12	9	8	11	3	15	7	6
ENSG00000001036	1363	1555	1876	2006	1239	1464	1572	1496
ENSG00000001084	2217	2155	2897	2906	1845	2290	2625	2365
ENSG00000001167	2468	2500	3220	3238	1757	2506	3015	2616
ENSG00000001460	582	581	643	777	394	565	633	564
ENSG00000001461	1616	1723	2022	2142	1096	1684	1741	1700
ENSG00000001497	6017	5346	7271	7290	5177	6391	6781	6237
ENSG00000001561	793	969	1217	1374	781	837	1138	922
ENSG00000001617	614	692	745	955	554	768	690	708
ENSG00000001626	0	0	1	0	4	0	0	1
ENSG00000001629	1533	1683	2371	2324	1199	1818	2033	1791
ENSG00000001630	67	56	59	28	20	170	20	94
ENSG00000001631	134	163	181	159	119	170	156	159
ENSG00000002016	845	966	1257	1491	703	861	1039	1002
ENSG00000002079	1	1	1	4	0	1	0	1
ENSG00000002330	775	641	652	796	628	821	672	853
ENSG00000002549	2162	2062	2687	2767	2011	2332	2618	2341
ENSG00000002586	5494	5011	5646	6323	5363	5273	5664	5422
ENSG00000002587	26	23	17	26	19	33	43	29
ENSG00000002726	0	0	0	0	0	0	0	0
ENSG00000002745	11	14	20	18	9	12	11	13
ENSG00000002746	45	61	47	61	12	38	37	39
ENSG00000002822	10	13	19	18	3	13	15	11
ENSG00000002834	2665	2547	2838	3340	1984	2467	2561	2741
ENSG00000002919	946	747	959	973	757	964	969	842
ENSG00000002933	0	1	1	3	3	3	0	4
ENSG00000003056	4740	4336	6086	6158	3806	4704	5632	4889
ENSG00000003096	1263	1263	1714	1662	1163	1272	1525	1295
ENSG00000003137	399	391	363	496	287	422	397	453
ENSG00000003147	66	82	79	110	60	59	83	67
ENSG00000003249	1549	1405	1543	1890	1165	1503	1483	1707
ENSG00000003393	1253	1359	1788	1851	928	1330	1567	1351
ENSG00000003400	238	282	331	361	191	247	259	258
ENSG00000003402	1106	1302	1704	1776	827	1183	1419	1252
ENSG00000003436	140	247	209	269	114	169	179	171
ENSG00000003509	733	778	1071	976	680	830	873	848
ENSG00000003756	5310	5966	7903	8233	5072	5937	6668	5985
ENSG00000003987	76	122	147	181	49	78	89	91
ENSG00000003989	5512	6064	8024	8382	3786	6029	6900	6275
ENSG00000004059	1802	1776	1798	2040	1521	2128	1561	1995
ENSG00000004139	2217	2058	2669	2807	1634	2346	2265	2475
ENSG00000004142	6426	5698	6872	7557	5335	6759	6448	6854
ENSG00000004399	1654	1648	1794	2334	967	1715	1736	1870
ENSG00000004455	7629	7751	9466	9687	6596	8156	8881	7964
ENSG00000004468	0	0	1	0	0	0	1	0
ENSG00000004478	24229	21781	28163	27684	21330	24330	27017	25142
ENSG00000004487	8435	8487	10570	11323	6661	8690	9518	8970
ENSG00000004534	5067	5666	7725	7707	4802	5596	6298	5556
ENSG00000004660	1460	1345	1749	1953	1250	1479	1625	1499
ENSG00000004700	2149	2374	3256	3369	2007	2187	2985	2330
ENSG00000004766	729	800	1063	1073	620	849	1073	856
ENSG00000004776	9	6	8	11	7	10	8	6
ENSG00000004777	361	435	468	655	312	362	403	439
ENSG00000004779	2074	2078	2295	2181	1982	2867	2041	2184
ENSG00000004799	128	258	301	291	128	155	224	194
ENSG00000004809	0	0	0	0	1	0	1	0
ENSG00000004838	80	78	78	124	80	64	81	95
ENSG00000004846	0	4	3	3	0	0	1	1
ENSG00000004848	12	14	16	12	10	13	16	12
ENSG00000004864	3252	3063	3868	4003	2649	3218	3692	3365
ENSG00000004866	714	680	888	891	596	654	812	775
ENSG00000004897	7325	7806	10405	10421	5754	7754	9540	8168
ENSG00000004939	3	4	0	4	2	0	2	2
ENSG00000004948	7	11	19	18	2	2	8	13
ENSG00000004961	1487	1282	1721	1584	1379	1710	1702	1602
ENSG00000004975	2419	2206	2523	2961	1727	2453	2463	2512
ENSG00000005001	0	0	1	0	0	0	0	0
ENSG00000005007	9299	8282	9705	10974	6280	9127	9074	9426
ENSG00000005020	1190	1501	1967	1900	1203	1285	1556	1461
ENSG00000005022	12521	11380	14098	14179	11107	13798	12599	12857
ENSG00000005059	1105	1050	1290	1427	1047	1245	1215	1220
ENSG00000005073	1344	1116	1334	1433	1166	1363	1318	1320
ENSG00000005075	970	785	927	738	714	1335	792	980
ENSG00000005100	3780	3510	4705	4470	2716	4198	4167	4141
ENSG00000005102	30	45	38	65	33	27	33	34
ENSG00000005108	68	123	133	200	47	80	106	70
ENSG00000005156	4328	4270	5663	5611	3074	4359	4895	4676
ENSG00000005175	3188	3419	5010	4763	3343	3430	4705	3675
ENSG00000005187	112	105	130	133	88	80	112	82
ENSG00000005189	517	632	723	853	470	602	726	655
ENSG00000005194	2403	2253	3029	2927	2278	2713	2648	2559
ENSG00000005206	1515	1557	1760	2420	1357	1732	1550	1841
ENSG00000005238	49	55	51	76	46	26	31	46
ENSG00000005243	4	4	5	13	7	4	8	4
ENSG00000005249	605	696	869	959	495	563	771	615
ENSG00000005302	1021	1085	1498	1705	953	1074	1381	1187
ENSG00000005339	4792	4496	5866	5305	2110	4609	4829	4861
ENSG00000005379	3	5	7	6	1	4	1	1
ENSG00000005381	0	0	0	0	0	0	0	0
ENSG00000005421	0	0	0	1	0	2	0	0
ENSG00000005436	1603	1830	2406	2472	1609	1782	2180	1848
ENSG00000005448	927	973	1028	1280	793	1101	1007	1159
ENSG00000005469	476	521	686	692	423	520	606	530
ENSG00000005471	41	99	101	152	45	47	81	46
ENSG00000005483	1821	2031	2660	2508	1246	1912	2163	1885
ENSG00000005486	1020	805	1039	1171	853	1166	937	1095
ENSG00000005513	316	343	288	385	247	310	269	337
ENSG00000005700	1703	2051	2623	2720	1262	1765	2462	1820
ENSG00000005801	1371	1687	2259	2295	1547	1635	1908	1751
ENSG00000005810	2749	2973	4259	3871	1304	2852	3661	3108
ENSG00000005812	1195	1344	1974	1993	1241	1415	1722	1400
ENSG00000005844	11	13	12	16	3	14	19	9
ENSG00000005882	1539	1412	1548	1847	1249	1697	1593	1678
ENSG00000005884	476	466	545	690	339	493	455	539
ENSG00000005889	3974	4204	6023	6061	3199	4391	5411	4663
ENSG00000005893	2452	2629	3494	3463	2188	2856	3153	2923
ENSG00000005961	239	319	402	482	269	268	276	330
ENSG00000005981	0	0	2	5	1	4	0	3
ENSG00000006007	2515	2231	2763	2742	2103	2403	2672	2517
ENSG00000006015	1344	1040	1164	1478	1046	1446	1052	1381
ENSG00000006016	50	69	52	59	34	59	39	53
ENSG00000006025	266	271	326	419	161	246	243	289
ENSG00000006042	2326	2254	2654	2968	2078	2505	2469	2534
ENSG00000006047	6	1	8	9	4	2	2	5
ENSG00000006059	0	0	0	0	0	0	0	0
ENSG00000006062	655	587	707	780	492	640	706	660
ENSG00000006071	54	105	111	126	53	86	79	102
ENSG00000006116	0	0	0	0	0	0	0	0
ENSG00000006118	3325	2919	3144	4467	2733	3461	3256	3560
ENSG00000006125	15009	15855	20009	21365	10312	15012	16930	16188
ENSG00000006128	0	0	0	0	0	0	0	0
ENSG00000006194	1486	1286	1812	1904	1172	1499	1701	1635
ENSG00000006210	20	32	19	45	25	39	34	29
ENSG00000006282	972	977	1226	1665	950	1035	1168	1207
ENSG00000006283	366	418	416	637	241	426	377	513
ENSG00000006327	108	87	101	109	77	124	93	130
